, start_pos, target_pos
0,1,152
1,1,6085
2,418,152
3,418,6085
4,27606,152
5,27606,6085
6,29,152
7,29,6085
8,3799,152
9,3799,6085
10,1,153
11,1,27928
12,418,153
13,418,27928
14,27606,153
15,27606,27928
16,154,153
17,154,27928
18,29714,153
19,29714,27928
20,165,153
21,165,27928
22,29472,153
23,29472,27928
24,205,153
25,205,27928
26,28503,153
27,28503,27928
28,1,154
29,1,29714
30,418,154
31,418,29714
32,27606,154
33,27606,29714
34,186,154
35,186,29714
36,28110,154
37,28110,29714
38,210,154
39,210,29714
40,28148,154
41,28148,29714
42,1,155
43,1,28262
44,418,155
45,418,28262
46,27606,155
47,27606,28262
48,4,155
49,4,28262
50,169,155
51,169,28262
52,29348,155
53,29348,28262
54,162,155
55,162,28262
56,29327,155
57,29327,28262
58,166,155
59,166,28262
60,29336,155
61,29336,28262
62,182,155
63,182,28262
64,28364,155
65,28364,28262
66,401,155
67,401,28262
68,28260,155
69,28260,28262
70,424,155
71,424,28262
72,28308,155
73,28308,28262
74,442,155
75,442,28262
76,28348,155
77,28348,28262
78,459,155
79,459,28262
80,29376,155
81,29376,28262
82,645,155
83,645,28262
84,29441,155
85,29441,28262
86,1,156
87,1,28448
88,418,156
89,418,28448
90,27606,156
91,27606,28448
92,163,156
93,163,28448
94,28979,156
95,28979,28448
96,165,156
97,165,28448
98,29472,156
99,29472,28448
100,168,156
101,168,28448
102,28465,156
103,28465,28448
104,181,156
105,181,28448
106,29053,156
107,29053,28448
108,183,156
109,183,28448
110,28480,156
111,28480,28448
112,184,156
113,184,28448
114,28482,156
115,28482,28448
116,189,156
117,189,28448
118,28572,156
119,28572,28448
120,204,156
121,204,28448
122,28500,156
123,28500,28448
124,205,156
125,205,28448
126,28503,156
127,28503,28448
128,210,156
129,210,28448
130,28148,156
131,28148,28448
132,1,157
133,1,29859
134,418,157
135,418,29859
136,27606,157
137,27606,29859
138,189,157
139,189,29859
140,28572,157
141,28572,29859
142,205,157
143,205,29859
144,28503,157
145,28503,29859
146,208,157
147,208,29859
148,30408,157
149,30408,29859
150,1,158
151,1,29462
152,418,158
153,418,29462
154,27606,158
155,27606,29462
156,183,158
157,183,29462
158,28480,158
159,28480,29462
160,189,158
161,189,29462
162,28572,158
163,28572,29462
164,204,158
165,204,29462
166,28500,158
167,28500,29462
168,1,159
169,1,28537
170,418,159
171,418,28537
172,27606,159
173,27606,28537
174,165,159
175,165,28537
176,29472,159
177,29472,28537
178,183,159
179,183,28537
180,28480,159
181,28480,28537
182,189,159
183,189,28537
184,28572,159
185,28572,28537
186,204,159
187,204,28537
188,28500,159
189,28500,28537
190,205,159
191,205,28537
192,28503,159
193,28503,28537
194,1,160
195,1,28455
196,418,160
197,418,28455
198,27606,160
199,27606,28455
200,163,160
201,163,28455
202,28979,160
203,28979,28455
204,165,160
205,165,28455
206,29472,160
207,29472,28455
208,183,160
209,183,28455
210,28480,160
211,28480,28455
212,189,160
213,189,28455
214,28572,160
215,28572,28455
216,204,160
217,204,28455
218,28500,160
219,28500,28455
220,205,160
221,205,28455
222,28503,160
223,28503,28455
224,1,161
225,1,4839
226,418,161
227,418,4839
228,27606,161
229,27606,4839
230,4,161
231,4,4839
232,169,161
233,169,4839
234,29348,161
235,29348,4839
236,19,161
237,19,4839
238,6885,161
239,6885,4839
240,162,161
241,162,4839
242,29327,161
243,29327,4839
244,166,161
245,166,4839
246,29336,161
247,29336,4839
248,182,161
249,182,4839
250,28364,161
251,28364,4839
252,228,161
253,228,4839
254,35200,161
255,35200,4839
256,401,161
257,401,4839
258,28260,161
259,28260,4839
260,424,161
261,424,4839
262,28308,161
263,28308,4839
264,442,161
265,442,4839
266,28348,161
267,28348,4839
268,456,161
269,456,4839
270,28368,161
271,28368,4839
272,459,161
273,459,4839
274,29376,161
275,29376,4839
276,1,162
277,1,29327
278,418,162
279,418,29327
280,27606,162
281,27606,29327
282,182,162
283,182,29327
284,28364,162
285,28364,29327
286,263,162
287,263,29327
288,28307,162
289,28307,29327
290,325,162
291,325,29327
292,28377,162
293,28377,29327
294,401,162
295,401,29327
296,28260,162
297,28260,29327
298,424,162
299,424,29327
300,28308,162
301,28308,29327
302,442,162
303,442,29327
304,28348,162
305,28348,29327
306,456,162
307,456,29327
308,28368,162
309,28368,29327
310,1,163
311,1,28979
312,418,163
313,418,28979
314,27606,163
315,27606,28979
316,168,163
317,168,28979
318,28465,163
319,28465,28979
320,183,163
321,183,28979
322,28480,163
323,28480,28979
324,184,163
325,184,28979
326,28482,163
327,28482,28979
328,204,163
329,204,28979
330,28500,163
331,28500,28979
332,205,163
333,205,28979
334,28503,163
335,28503,28979
336,1,164
337,1,28066
338,418,164
339,418,28066
340,27606,164
341,27606,28066
342,154,164
343,154,28066
344,29714,164
345,29714,28066
346,210,164
347,210,28066
348,28148,164
349,28148,28066
350,1,165
351,1,29472
352,418,165
353,418,29472
354,27606,165
355,27606,29472
356,183,165
357,183,29472
358,28480,165
359,28480,29472
360,189,165
361,189,29472
362,28572,165
363,28572,29472
364,204,165
365,204,29472
366,28500,165
367,28500,29472
368,205,165
369,205,29472
370,28503,165
371,28503,29472
372,1,166
373,1,29336
374,418,166
375,418,29336
376,27606,166
377,27606,29336
378,182,166
379,182,29336
380,28364,166
381,28364,29336
382,263,166
383,263,29336
384,28307,166
385,28307,29336
386,401,166
387,401,29336
388,28260,166
389,28260,29336
390,442,166
391,442,29336
392,28348,166
393,28348,29336
394,691,166
395,691,29336
396,28630,166
397,28630,29336
398,1,167
399,1,65423
400,418,167
401,418,65423
402,27606,167
403,27606,65423
404,1,168
405,1,28465
406,418,168
407,418,28465
408,27606,168
409,27606,28465
410,163,168
411,163,28465
412,28979,168
413,28979,28465
414,181,168
415,181,28465
416,29053,168
417,29053,28465
418,184,168
419,184,28465
420,28482,168
421,28482,28465
422,1,4
423,1,169
424,1,29348
425,418,4
426,418,169
427,418,29348
428,27606,4
429,27606,169
430,27606,29348
431,182,4
432,182,169
433,182,29348
434,28364,4
435,28364,169
436,28364,29348
437,401,4
438,401,169
439,401,29348
440,28260,4
441,28260,169
442,28260,29348
443,500,4
444,500,169
445,500,29348
